نام,آدرس,نوع پست,ظرفیت,فیدر,کد شناسایی
بلوار دیلمان2,بوستان 4,عمومى,315,شهید مقدم - فیدر دیلمان,E3101@00000SP03506
بلوار دیلمان  ,بوستان 4,عمومى,400,شهید مقدم - فیدر دیلمان,E3101@00000SP03507
ورودی شهرک امام علی,بلوار دیلمان  ورودی شهرک امام علی,عمومى,250,شهید مقدم - فیدر دیلمان,E3101@00000SP03508
شهرک امام علی-گل نرگس,بلوار دیلمان شهرک امام علی-گل نرگس,عمومى,315,شهید مقدم - فیدر دیلمان,E3101@00000SP03509
دیلمان کوچه یاس,بلوار دیلمان بعداز کوچه همت کوچه یاس,عمومى,315,شهید مقدم - فیدر دیلمان,E3101@00000SP03518
همت 1,بلوار دیلمان نبش کوچه همت,عمومى,500,شهید مقدم - فیدر دیلمان,E3101@00000SP03519
هایپر مارکت,بلوار دیلمان هایپر مارکت,اختصاصی,200,شهید مقدم - فیدر دیلمان,E3101@00000SP03520
دکتر حسابی,بلوار دیلمان نبش دکتر حسابی,عمومى,400,شهید مقدم - فیدر دیلمان,E3101@00000SP03521
مسجد اسماعیل آباد,بلوار انصاری کوی امام رضا مسجد اسماعیل آباد,عمومى,500,شهید مقدم - فیدر دیلمان,E3101@00000SP03522
مسجد امام رضا,بلوار انصاری کوی امام رضا مسجد اسماعیل آباد,عمومى,400,شهید مقدم - فیدر دیلمان,E3101@00000SP03523
شرکت نفت,تقاطع بلوار سمیه و دیلمان,عمومى,315,شهید مقدم - فیدر گلسار 6,E3101@00000SP03525
کارن,جاده پیربازار رستوران کارن,اختصاصی,315,قلی پور - فیدر کوی حسینی,E3101@00000SP03526
نرسیده به فخب بوستان 4,نرسیده به فخب بوستان 4,عمومی و اختصاصی,200,قلی پور - فیدر کوی حسینی,E3101@00000SP03527
نرسیده به فخب کوچه گلستان3,نرسیده به فخب کوچه گلستان3,عمومى,125,قلی پور - فیدر کوی حسینی,E3101@00000SP03528
جاده پیر بازار کوچه چوب تراش,جاده پیر بازار کوچه چوب تراش,عمومى,100,قلی پور - فیدر کوی حسینی,E3101@00000SP03529
فخب کوچه 3 فرح بخش و شیرین زاده,فخب کوچه 3 فرح بخش و شیرین زاده,عمومى,100,قلی پور - فیدر کوی حسینی,E3101@00000SP03531
کوچه جوادی,فخب کوچه جوادی,عمومى,315,توحید - فیدر فخب,E3101@00000SP03532
پیچ فخب کارگاه نوین چوب آقایی,پیچ فخب کارگاه نوین چوب آقایی,عمومى,25,توحید - فیدر فخب,E3101@00000SP03533
برنجکوبی رمضانعلی دهقانواز,جاده پیر بازار فخب برنجکوبی رمضانعلی دهقانواز,اختصاصی,100,توحید - فیدر فخب,E3101@00000SP03535
بهارستان2,فخب بهارستان,عمومى,250,توحید - فیدر فخب,E3101@00000SP03536
کوچه 13,فخب کوچه 13 آقا سید خلیل,عمومى,200,توحید - فیدر فخب,E3101@00000SP03537
پمپاژ آب ابتدای اصفهان,میدان توحید ابتدای اصفهان,اختصاصی,200,قلی پور - فیدر توحید,E3101@00000SP03538
نبش توحید 3,بلوار توحید,عمومى,315,قلی پور - فیدر توحید,E3101@00000SP03539
فخب -کوچه 21,کوچه 21,عمومى,315,توحید - فیدر فخب,E3101@00000SP03540
فخب مخابرات,فخب مخابرات,عمومی و اختصاصی,200,توحید - فیدر فخب,E3101@00000SP03542
فخب کوچه 25,فخب کوچه 25,عمومى,200,توحید - فیدر فخب,E3101@00000SP03544
میدان شهید غزنوی,بلوار گیلان میدان غزنوی,عمومى,315,قلی پور - فیدر توحید,E3101@00000SP03546
پمپاژ آب خمسه بازار,خمسه بازار پمپاژ آب,عمومی و اختصاصی,250,قلی پور - فیدر کوی حسینی,E3101@00000SP03547
انتهای فخب2,انتهای فخب,عمومى,100,توحید - فیدر فخب,E3101@00000SP03550
پرورش ماهی علی حیدری فخبی,انتهای فخب,عمومی و اختصاصی,100,توحید - فیدر فخب,E3101@00000SP03551
انتهای فخب-کوچه 40,انتهای فخب ترانس هشتم,عمومى,250,توحید - فیدر فخب,E3101@00000SP03552
کوچه شهید هاشمی,خمسه بازار کوچه شهید هاشمی,عمومى,250,قلی پور - فیدر کوی حسینی,E3101@00000SP03557
کوي حسيني داخل کوچه 18,کوي حسيني داخل کوچه 18 ( به سمت کوچه هاشمي کوچه لاله- پنجم),عمومى,200,قلی پور - فیدر کوی حسینی,E3101@00000SP03558
روبروي نانوايي سنگکي,کوي حسيني ترانس اول -روبروي نانوايي سنگکي,عمومى,400,قلی پور - فیدر کوی حسینی,E3101@00000SP03559
دبیرستان صدیقه کبری,خیابان بوسار کوچه بهار,عمومی و اختصاصی,50,قلی پور - فیدر بوسار,E3101@00000SP03560
دکترمحمد نجفی  آشتیانی,خیابان بوسار دکترمحمدنجفی  آشتیانی,اختصاصی,400,قلی پور - فیدر بوسار,E3101@00000SP03561
کوچه شهید مشخ,بوسار نبش کوچه شهید مشخ,عمومى,200,قلی پور - فیدر بوسار,E3101@00000SP03567
انبار اداره راه,پل بوسار اداره راه وترابری,عمومى,315,قلی پور - فیدر بوسار,E3101@00000SP03569
کوی حسینی کوچه 49,کوی حسینی کوچه 49,عمومى,400,قلی پور - فیدر کوی حسینی,E3101@00000SP03572
مسجد ابوالفضل,کوی حسینی مسجد ابوالفضل,عمومى,500,قلی پور - فیدر کوی حسینی,E3101@00000SP03574
یزدانی,کوی حسینی چهارراه یزدانی,عمومى,400,قلی پور - فیدر کوی حسینی,E3101@00000SP03575
بازارچه فخب,بازارچه فخب,عمومى,400,قلی پور - فیدر کوی حسینی,E3101@00000SP03577
فخب کوچه 12,فخب کوچه 12,عمومى,315,قلی پور - فیدر کوی حسینی,E3101@00000SP03579
کوی حسینی جنب کانال کوچه 40,کوی حسینی جنب کانال کوچه 40,عمومى,400,قلی پور - فیدر کوی حسینی,E3101@00000SP03583
کوی حسینی کوچه 24,کوی حسینی کوچه 24,عمومى,500,قلی پور - فیدر کوی حسینی,E3101@00000SP03587
مسجد قدس کوی حسینی,مسجد قدس کوی حسینی,عمومى,400,قلی پور - فیدر کوی حسینی,E3101@00000SP03588
کوی حسین کوچه 39یاس 2,کوی حسین کوچه 39یاس 2,عمومى,400,قلی پور - فیدر کوی حسینی,E3101@00000SP03589
خمسه بازار,خمسه بازار کوچه علیپور,عمومى,160,قلی پور - فیدر کوی حسینی,E3101@00000SP03597
مبارک آباد برنجکوبی ناصرگلرنگ,مبارک آباد برنجکوبی ناصرگلرنگ,اختصاصی,100,توحید - فیدر پیربازار,E3101@00000SP03598
اسلام آباد دادرس,اسلام آباد دادرس,عمومى,100,توحید - فیدر پیربازار,E3101@00000SP03599
بتن آماده خزر(ظهوری),جاده اسلام آباد بتن آماده خزر(ظهوری),اختصاصی,100,توحید - فیدر پیربازار,E3101@00000SP03600
مبارک آباد,مبارک آباد,عمومى,315,توحید - فیدر پیربازار,E3101@00000SP03601
پمپاژ آب  شرب مبارک آباد,مبارک آباد  آب  شرب,عمومی و اختصاصی,200,توحید - فیدر پیربازار,E3101@00000SP03602
گالش خیل,گالش خیل ترانس اول,عمومى,100,توحید - فیدر پیربازار,E3101@00000SP03603
مبارک آباد پمپاژآب کشاورزی,مبارک آباد پمپاژآب کشاورزی,اختصاصی,50,توحید - فیدر پیربازار,E3101@00000SP03604
جاده اسلام آباد بهمن شاد,جاده اسلام آباد بهمن شاد,عمومی و اختصاصی,50,توحید - فیدر پیربازار,E3101@00000SP03605
دوم اسلام آباد,بازارچه  اسلام آباد,عمومى,200,توحید - فیدر پیربازار,E3101@00000SP03606
سوم اسلام آباد ,سوم اسلام آباد ,عمومى,100,توحید - فیدر پیربازار,E3101@00000SP03607
پمپاژآب گالش خیل,پمپاژآب گالش خیل,عمومی و اختصاصی,50,توحید - فیدر پیربازار,E3101@00000SP03608
دوم گالش خیل,ترانس دوم گالش خیل,عمومى,100,توحید - فیدر پیربازار,E3101@00000SP03610
مرغداری مرغک زرین گیلان,اسلام آباد مرغداری مرغک زرین گیلان,اختصاصی,50,توحید - فیدر پیربازار,E3101@00000SP03613
بیجارخانه اول,بیجارخانه اول,عمومى,100,توحید - فیدر پیربازار,E3101@00000SP03614
بیجارخاله  سوم,بیجارخاله  سوم,عمومى,100,توحید - فیدر پیربازار,E3101@00000SP03615
رخشایی,پیربازار نرسیده به کفترود رخشایی,عمومى,25,توحید - فیدر پیربازار,E3101@00000SP03618
کوچه حجت الله غلامی,نرسیده به کفترود کوچه غلامی,عمومى,250,توحید - فیدر پیربازار,E3101@00000SP03619
شرکت شمال سنگ (آقای سعدی),پیربازار کفترود شرکت شمال سنگ (آقای سعدی),عمومى,25,توحید - فیدر پیربازار,E3101@00000SP03620
خنفچه مرغداری رجاء,خنفچه مرغداری رجاء,اختصاصی,100,توحید - فیدر پیربازار,E3101@00000SP03621
 برنجکوبی همتی,اول خنفچه برنجکوبی همتی,عمومی و اختصاصی,200,توحید - فیدر پیربازار,E3101@00000SP03622
راه آهن تبریز,کفترود ایستگاه راه آهن تبریز ساختمان,اختصاصی,50,توحید - فیدر پیربازار,E3101@00000SP03623
رزمی,رجب آباد کوچه انقلاب رزمی,عمومی و اختصاصی,100,توحید - فیدر پیربازار,E3101@00000SP03624
منگوده پمپاژ آب,منگوده کوچه لادن پمپاژ آب,اختصاصی,50,توحید - فیدر تخته پل,E3101@00000SP03625
بازارچه کفترود,بازارچه کفترود,عمومى,315,توحید - فیدر پیربازار,E3101@00000SP03626
ایرانسل,کفترود ایرانسل,عمومى,25,توحید - فیدر پیربازار,E3101@00000SP03627
ابراهیم نوری,کفترودکوچه ابراهیم نوری,عمومی و اختصاصی,200,توحید - فیدر پیربازار,E3101@00000SP03628
جنب کانال کوچه لادن,منگوده جنب کانال کوچه لادن,عمومى,250,توحید - فیدر تخته پل,E3101@00000SP03629
بنفشه 2,منگوده بنفشه 2,عمومى,200,توحید - فیدر تخته پل,E3101@00000SP03630
شقایق,منگوده کوچه شقایق,عمومى,200,توحید - فیدر تخته پل,E3101@00000SP03631
روبروی کوچه گلستان,پیربازار نرسیده به پیچ پیرده روبروی کوچه گلستان,عمومى,200,توحید - فیدر پیربازار,E3101@00000SP03632
مسجد منگوده,مسجد منگوده,عمومى,100,توحید - فیدر پیربازار,E3101@00000SP03634
پیرده جنب منزل قربانی,پیرده جنب منزل قربانی,عمومى,200,توحید - فیدر پیربازار,E3101@00000SP03635
تالار الماس سرسبز شمال,پیرده تالار الماس سرسبز شمال,عمومی و اختصاصی,250,توحید - فیدر پیربازار,E3101@00000SP03636
منگوده بوستان 9,منگوده بوستان 9,عمومى,100,توحید - فیدر پیربازار,E3101@00000SP03637
احمد گورابجیری(گیلان شلتوک),پیرده برنجکوبی احمد گورابجیری(گیلان شلتوک),عمومى,200,توحید - فیدر پیربازار,E3101@00000SP03638
مرغداری نقوی,پیربازار جور سرایی مرغداری محمد علی و آرمین نقوی,عمومی و اختصاصی,125,توحید - فیدر پیربازار,E3101@00000SP03639
جورسرایی  سوم,پیر بازار جورسرایی ترانس سوم,عمومى,15,توحید - فیدر پیربازار,E3101@00000SP03640
منزل بازنده,پیربازار کوچه جورسرایی منزل بازنده,عمومى,100,توحید - فیدر پیربازار,E3101@00000SP03641
رستوران بهارستان,پیربازار جاده چوکام رستوران بهارستان,عمومى,50,توحید - فیدر پیربازار,E3101@00000SP03642
ابتدای جورسرایی,پیربازار ابتدای جورسرایی,عمومى,250,توحید - فیدر پیربازار,E3101@00000SP03643
برنجکوبی مظلومی,پیربازار جاده چوکام  برنجکوبی مظلومی,اختصاصی,125,توحید - فیدر پیربازار,E3101@00000SP03644
 جنب بانک صادرات,پیربازار ,عمومی و اختصاصی,250,توحید - فیدر پیربازار,E3101@00000SP03645
فخرالدین,پیربازرا جاده چوکام اختصاصی فخرالدین,عمومى,25,توحید - فیدر پیربازار,E3101@00000SP03646
تراشکاری شاهین,(نان فانتزی گندمک),عمومی و اختصاصی,250,توحید - فیدر پیربازار,E3101@00000SP03647
پیربازاربرنجکوبی حسین نیا,پیربازاربرنجکوبی حسین نیا,عمومی و اختصاصی,200,توحید - فیدر پیربازار,E3101@00000SP03648
اول بنیاد مسکن,پیربازار بنیاد مسکن اول,عمومى,100,توحید - فیدر پیربازار,E3101@00000SP03649
برنجکوبی مزرعه,مبارک آباد برنجکوبی مزرعه(حسن رحمانی ) نبش کوچه گلستان 21,عمومی و اختصاصی,250,توحید - فیدر پیربازار,E3101@00000SP03650
طش چهار راه رستگار,طش چهار راه رستگار,عمومى,100,توحید - فیدر پیربازار,E3101@00000SP03651
طش  مظلومی,طش ترانس مظلومی,عمومى,100,توحید - فیدر پیربازار,E3101@00000SP03652
گراکه پمپاژ آب,گراکه پمپاژ آب,اختصاصی,100,توحید - فیدر پیربازار,E3101@00000SP03653
بنیاد 2,پیربازار بنیاد مسکن 2,عمومى,200,توحید - فیدر پیربازار,E3101@00000SP03654
زینبیه,پیربازار دبیرستان زینبیه,عمومى,315,توحید - فیدر پیربازار,E3101@00000SP03655
برنجکوبی ستاره(حسین و عباس گلرنگ),برنجکوبی ستاره(حسین و عباس گلرنگ),اختصاصی,100,توحید - فیدر پیربازار,E3101@00000SP03656
رجب آباد پشت نگین شمال,رجب آباد پشت نگین شمال,عمومى,15,توحید - فیدر پیربازار,E3101@00000SP03657
خیابان شهید بهشتی جدید,رجب آباد خیابان شهید بهشتی جدید,عمومى,200,توحید - فیدر پیربازار,E3101@00000SP03658
رجب آباد  جنب چوب بری غلامی,رجب آباد چوب بری غلامی,عمومی و اختصاصی,250,توحید - فیدر پیربازار,E3101@00000SP03659
آسایشگاه سالمندان شالیزار,رجب آباد آسایشگاه سالمندان شالیزار,اختصاصی,100,توحید - فیدر پیربازار,E3101@00000SP03660
انتهای محمد آباد-بالاتر از مرغداری سپهرم,پیربازار,عمومى,25,توحید - فیدر پیربازار,E3101@00000SP03663
مرغداری سپهرم حاکمی,پیربازار مرغداری سپهرم حاکمی,اختصاصی,50,توحید - فیدر پیربازار,E3101@00000SP03665
کوچه داغستانی مرغداری سپید گوشت,پیربازار کوچه داغستانی مرغداری سپید گوشت,اختصاصی,50,توحید - فیدر پیربازار,E3101@00000SP03667
داخل کوچه داغستانی,پیربازار داخل کوچه داغستانی,عمومى,160,توحید - فیدر پیربازار,E3101@00000SP03670
گراکه سقف گستر(فلاح مهر),پیربازار گراکه سقف گستر(فلاح مهر),عمومى,25,توحید - فیدر پیربازار,E3101@00000SP03673
سیلندر پرکنی گاز(ابراهیم گنجه سوقه),پیربازار گراکه سیلندر پرکنی گاز(ابراهیم گنجه سوقه),اختصاصی,100,توحید - فیدر پیربازار,E3101@00000SP03675
درمانگاه تامین اجتماعی,خ شهدا کیژده  درمانگاه تامین اجتماعی,اختصاصی,250,سیار جانبازان - فیدر جانبازان,E3101@00000SP03677
گراکه قارچ صدفی,پیربازار گراکه قارچ صدفی,اختصاصی,100,توحید - فیدر پیربازار,E3101@00000SP03678
کیژده کوی شهدای اسلام کوچه 7,کیژده کوی شهدای اسلام کوچه 7,عمومى,500,سیار جانبازان - فیدر جانبازان,E3101@00000SP03679
نبش کوچه تختی,کیژده کوی شهدای اسلام نبش کوچه تختی,عمومى,400,سیار جانبازان - فیدر جانبازان,E3101@00000SP03680
شرکت گیل گستر فرهاد کریمی,پیربازار شرکت گیل گستر فرهاد کریمی,عمومی و اختصاصی,50,توحید - فیدر پیربازار,E3101@00000SP03681
کوچه مولایی-39,خ شهدا  کوچه مولایی-39,عمومى,315,سیار جانبازان - فیدر جانبازان,E3101@00000SP03683
یاس2,پیربازار  یاس2,عمومی و اختصاصی,200,توحید - فیدر پیربازار,E3101@00000SP03684
لاستیک سازی و نخ سازی,رجب آباد کوچه گلستان لاستیک سازی ونخ سازی,عمومی و اختصاصی,250,توحید - فیدر پیربازار,E3101@00000SP03685
کوچه تختی,خ شهدا انتهای کوچه تختی,عمومى,400,سیار جانبازان - فیدر جانبازان,E3101@00000SP03686
ابتدای مهدیان,بهمن آباد مهدیان,عمومى,200,توحید - فیدر پیربازار,E3101@00000SP03687
بدرکوهی,بهمن آباد بدرکوهی,عمومی و اختصاصی,250,توحید - فیدر پیربازار,E3101@00000SP03688
پیر بو علی,خ شهدا آقا پیر بو علی,عمومى,315,سیار جانبازان - فیدر جانبازان,E3101@00000SP03689
امیان,خ شهدا تازه آباد,عمومى,250,سیار جانبازان - فیدر جانبازان,E3101@00000SP03690
جنب مسجد آقا اجاق,پیربازار  جنب مسجد آقا اجاق,عمومى,200,توحید - فیدر پیربازار,E3101@00000SP03692
کوچه اکبری,پیربازار کوچه اکبری,عمومی و اختصاصی,200,توحید - فیدر پیربازار,E3101@00000SP03693
پیربازار داخل هادی زاده ترانس سوم,پیربازار به سمت محمد آباد,عمومى,100,توحید - فیدر پیربازار,E3101@00000SP03699
بین برنجکوبی زرین خوشه و یاس دو,پیربازار اسب دوانی,عمومى,100,توحید - فیدر پیربازار,E3101@00000SP03703
برنجکوبی زرین خوشه (قریبی),پیربازار اسب دوانی,اختصاصی,200,توحید - فیدر پیربازار,E3101@00000SP03704
باشگاه اسب دوانی,پیربازار باشگاه اسب دوانی,اختصاصی,100,توحید - فیدر پیربازار,E3101@00000SP03705
ترانس اول هادی زاده,پیربازار به سمت محمد آباد هادی زاده,عمومی و اختصاصی,200,توحید - فیدر پیربازار,E3101@00000SP03706
محمد آباد کوچه رمضانی,محمد آباد کوچه رمضانی,عمومى,50,توحید - فیدر پیربازار,E3101@00000SP03707
پرورش ماهی ابوالقاسم احمدی,پیربازار اسب دوانی,اختصاصی,100,توحید - فیدر پیربازار,E3101@00000SP03708
اسب دوانی استخر ماهی پرویز احمدی,پیربازار اسب دوانی,اختصاصی,100,توحید - فیدر پیربازار,E3101@00000SP03710
نامجو,محمود آباد کوچه نامجو,عمومى,100,توحید - فیدر پیربازار,E3101@00000SP03711
محمد آبادفرامرزی,محمد آبادفرامرزی,اختصاصی,50,توحید - فیدر پیربازار,E3101@00000SP03712
مرغداری سلامت جوجه,پیربازار اسب دوانی,اختصاصی,400,توحید - فیدر پیربازار,E3101@00000SP03713
گاوداری و مرغداری  گلچای,محمود آباد گاوداری و مرغداری  گلچای,اختصاصی,50,توحید - فیدر پیربازار,E3101@00000SP03719
پیربازار مخابرات,پیربازار مخابرات,اختصاصی,50,توحید - فیدر پیربازار,E3101@00000SP03721
روبروی خانه بهداشت,پیربازار کوچه احمد بخشی روبروی خانه بهداشت,عمومى,200,توحید - فیدر پیربازار,E3101@00000SP03722
کشاورزی,پیربازار انتهای کوچه کشاورزی,عمومى,200,توحید - فیدر پیربازار,E3101@00000SP03723
پیچ پیرده چوب بری غلامی,پیربازار جاده چوکام  چوب بری غلامی,عمومی و اختصاصی,25,توحید - فیدر پیربازار,E3101@00000SP03726
گاوداری کاظم پور,پیربازار پیرده گاوداری کاظم پور,اختصاصی,75,توحید - فیدر پیربازار,E3101@00000SP03727
سنگ بلوک زنی موجودی,پیربازار جاده چوکام سنگ بلوک زنی موجودی,عمومى,25,توحید - فیدر پیربازار,E3101@00000SP03729
رجب آباد فیاض مقدم,رجب آباد فیاض مقدم,عمومی و اختصاصی,315,توحید - فیدر پیربازار,E3101@00000SP03731
باهنر,رجب آباد کوچه باهنر,عمومى,160,توحید - فیدر پیربازار,E3101@00000SP03732
بازارچه محمد آباد,بازارچه محمد آباد,عمومى,200,توحید - فیدر پیربازار,E3101@00000SP03734
کوچه شهرام علیزاده,ژاندارمری کوچه شهرام علیزاده (احمدی مریدانی),عمومى,200,شهید مقدم - فیدر تختی,E3101@00000SP03779
هدایتی شیرینی الف,بلوار نماز روبروی شهرک گل ها,اختصاصی,75,قلی پور - فیدر یادگار امام,E3101@00000SP03780
کوی طالقانی اصغری(معابر),پستک,عمومى,125,شهید مقدم - فیدر رینگ شهر,E3101@00000SP03795
کوی کشاورز کوچه رز 3,جاده انزلی کوی کشاورز کوچه رز3,عمومى,315,شهید مقدم - فیدر رینگ شهر,E3101@00000SP03822
باشگاه ورزشی قهرمانان (بهشتی),پستک کوچه نبوت36باشگاه قهرمانان خانوم بهشتی,اختصاصی,50,شهید مقدم - فیدر رینگ شهر,E3101@00000SP03823
کوچه شمال,جاده انزلی داخل کوچه رهبری,عمومى,400,پوشش - فیدر هلال احمر,E3101@00000SP03824
CNG ملایی پور,جاده انزلی انتهای خیابان عرفان,اختصاصی,500,پوشش - فیدر هلال احمر,E3101@00000SP03826
پستک کوچه 17  ترانس دوم,پستک کوچه 17  ,عمومى,315,شهید مقدم - فیدر رینگ شهر,E3101@00000SP03827
کوی اساتید,پستک,عمومى,315,شهید مقدم - فیدر رینگ شهر,E3101@00000SP03829
کوی طالقانی کوچه یاس,پستک,عمومى,315,شهید مقدم - فیدر رینگ شهر,E3101@00000SP03830
کوی طالقانی تالار گلسار,پستک,عمومی و اختصاصی,400,شهید مقدم - فیدر رینگ شهر,E3101@00000SP03831
آلمان جنب مسجد ابراهیم,آلمان جنب مسجد ابراهیم,عمومى,200,شهید مقدم - فیدر رینگ شهر,E3101@00000SP03833
آلمان کوچه یاس 13,آلمان کوچه یاس 13,عمومى,160,شهید مقدم - فیدر رینگ شهر,E3101@00000SP03834
اسماعیل آباد خوب رفتار,بلوار انصاری انتهای کوی امام رضا,عمومى,315,شهید مقدم - فیدر رینگ شهر,E3101@00000SP03835
اسماعیل آباد کوچه سهند,بلوار انصاری کوی امام رضا,عمومى,400,توحید - فیدر استاد معین,E3101@00000SP03836
بهار13,گلسار انتهای خیابان 126,عمومى,315,توحید - فیدر استاد معین,E3101@00000SP03837
خ 122 مدرسه سروش,گلسار خ 122,عمومى,400,توحید - فیدر استاد معین,E3101@00000SP03838
بهار4,گلسار خ 122,عمومى,500,توحید - فیدر استاد معین,E3101@00000SP03839
خ 179,گلسار بلوار گیلان نبش خ 179,عمومى,315,توحید - فیدر گلایل,E3101@00000SP03840
خ177,بلوار گیلان خ 177,عمومى,400,توحید - فیدر گلایل,E3101@00000SP03841
برنجکوبی جهانی,جاده انزلی دوچی پای بست,اختصاصی,50,پوشش - فیدر هلال احمر,E3101@00000SP03842
کوی یخ نبش کوچه بهارستان,انتهای خیابان عرفان کوی یخ سمت چپ,عمومى,200,پوشش - فیدر هلال احمر,E3101@00000SP03843
 ولیعصر2, جاده انزلی کوی کشاورز ولیعصر2,عمومى,400,شهید مقدم - فیدر رینگ شهر,E3101@00000SP03844
کوچه وصال,بلوار خرمشهر کوچه وصال,عمومى,200,شهید مقدم - فیدر خرمشهر,E3101@00000SP03845
چاپ قیام,بلوار خرمشهر کوچه میر باقری(حافظ),عمومی و اختصاصی,400,شهید مقدم - فیدر خرمشهر,E3101@00000SP03846
همت 2,بلوار دیلمان کوچه همت,عمومى,200,شهید مقدم - فیدر دیلمان,E3101@00000SP03847
استخر برنا,پل بوسار خیابان نواب,عمومی و اختصاصی,500,قلی پور - فیدر نواب,E3101@00000SP03848
ایستگاه آستارا,پل بوسار خیابان نواب,عمومى,500,قلی پور - فیدر نواب,E3101@00000SP03849
پشت مخابرات مرکز,چهارراه گلسار کوچه بنت الهدی,عمومى,200,قلی پور - فیدر نواب,E3101@00000SP03850
پشت مخابرات,چهارراه گلسار کوچه بنت الهدی,عمومى,500,قلی پور - فیدر نواب,E3101@00000SP03851
خیابان 80 داروخانه دکتر کیایی,گلسار خیابان 80,عمومی و اختصاصی,400,قلی پور - فیدر نواب,E3101@00000SP03853
تامین اجتماعی,گلسار نرسیده به پمپ بنزین,عمومى,315,قلی پور - فیدر فرهنگیان,E3101@00000SP03855
بخت پسند,بلوار انصاری کوچه بخت پسند,عمومی و اختصاصی,500,قلی پور - فیدر نواب,E3101@00000SP03858
موسسه سما,بلوار انصاری کوچه بخت پسند,عمومی و اختصاصی,250,قلی پور - فیدر نواب,E3101@00000SP03864
تختی بازارچه جنب پل,تختی بازارچه جنب پل,عمومى,315,معلم - فیدر باقرآباد,E3101@00000SP03865
داخل  پارس1,خیابان دفاع داخل پارس 1,عمومى,500,شهید مقدم - فیدر تختی,E3101@00000SP03866
پارس 2,خیابان دفاع نبش پارس 2,عمومى,500,شهید مقدم - فیدر تختی,E3101@00000SP03867
هشت متری فجر اول,خیابان دفاع پارس 2 هشت متری فجر,عمومى,500,شهید مقدم - فیدر تختی,E3101@00000SP03868
کوی امینی,ژاندارمری کوی امینی,عمومى,500,شهید مقدم - فیدر دیانتی,E3101@00000SP03869
مدرسه عالمی,دیانتی میدان کودک کوچه مروارید,عمومی و اختصاصی,500,شهید مقدم - فیدر دیانتی,E3101@00000SP03870
جانباز,ماهی رودخان جانباز,عمومى,500,شهید مقدم - فیدر دیانتی,E3101@00000SP03905
شمسی پور,ماهی رودخان کوچه 15,عمومى,500,شهید مقدم - فیدر دیانتی,E3101@00000SP03906
شیر آب,ماهی رودخان شیر آب,عمومى,400,شهید مقدم - فیدر پردیسان,E3101@00000SP03907
پارک فضای سبز سمیرا,ماهی رودخان پارک فضای سبز سمیرا,عمومى,500,شهید مقدم - فیدر دیانتی,E3101@00000SP03908
کوچه یازدهم,دیانتی 16 متری استقلال,عمومى,315,شهید مقدم - فیدر دیانتی,E3101@00000SP03909
ایستگاه سواری دیانتی,دیانتی نبش 16 متری استقلال,عمومى,500,شهید مقدم - فیدر دیانتی,E3101@00000SP03910
تشریفات,دیانتی بلوار جواد پور سماک میدان کودک,عمومى,500,شهید مقدم - فیدر دیانتی,E3101@00000SP03911
دلجو,بلوار جوادپور سماک,عمومى,315,شهید مقدم - فیدر دیانتی,E3101@00000SP03912
باشگاه مشعل,بلوار جواد پور سماک,عمومی و اختصاصی,400,شهید مقدم - فیدر دیانتی,E3101@00000SP03913
کوی طالقانی,بلوار جواد پور سماک,عمومى,400,شهید مقدم - فیدر دیانتی,E3101@00000SP03914
اندیشه های شریف (مونا صالحی),بلوار دیلمان انتهای وحدت,اختصاصی,200,شهید مقدم - فیدر گلسار 7,E3101@00000SP03917
مجموعه ورزشی آرنا,بلوار دیلمان انتهای وحدت,عمومی و اختصاصی,250,شهید مقدم - فیدر گلسار 7,E3101@00000SP03918
خیابان یلدا توحید1,بلوار دیلمان خیابان یلدا توحید1,عمومى,500,شهید مقدم - فیدر گلسار 7,E3101@00000SP03920
گلسار انتهای خیابان 138,گلسار انتهای خیابان 138 توحید,عمومى,400,شهید مقدم - فیدر گلسار 7,E3101@00000SP03922
خیابان 132,گلسار انتهای خیابان 132,عمومى,500,شهید مقدم - فیدر گلسار 7,E3101@00000SP03924
توحید8,گلسار - خیابان 130 - توحید 8,عمومى,200,شهید مقدم - فیدر گلسار 7,E3101@00000SP03925
خیابان 130,گلسار نبش خیابان 130,عمومی و اختصاصی,500,شهید مقدم - فیدر گلسار 7,E3101@00000SP03926
خیابان102,گلسار انتهای خیابان 102,عمومى,200,قلی پور - فیدر فرهنگیان,E3101@00000SP03927
نسترن,گلسار انتهای خیابان 104,عمومی و اختصاصی,315,شهید مقدم - فیدر دیلمان,E3101@00000SP03929
 پشت مجتمع گلها,بلوار نماز  پشت مجتمع گلها,عمومى,500,شهید مقدم - فیدر دیلمان,E3101@00000SP03930
تربیت معلم,بلوار گیلان تربیت معلم,عمومى,400,توحید - فیدر بلوار گیلان,E3101@00000SP03934
مجتمع گلها,بلوار نماز مجتمع گلها,عمومى,400,قلی پور - فیدر فرهنگیان,E3101@00000SP03937
داخل میخک ,بلوار نماز میخک ,عمومى,500,شهید مقدم - فیدر دیلمان,E3101@00000SP03939
داخل کوچه نیلوفر نبش بن بست دوم,بلوار نماز داخل کوچه نیلوفر نبش بن بست دوم,عمومى,400,شهید مقدم - فیدر دیلمان,E3101@00000SP03940
کوچه سلیمانی,باقر آباد کوچه سلیمانی,عمومى,500,معلم - فیدر باقرآباد,E3101@00000SP03945
